"		156",堡林,2020-01-22,82.5,39
"		156",堡林,2020-01-23,85.1,58
"		156",堡林,2020-01-24,57.8,32
"		156",堡林,2020-01-25,71.5,58
"		156",堡林,2020-01-26,68.1,49
"		156",堡林,2020-01-27,94.5,56
"		156",堡林,2020-01-28,81.9,50
"		156",堡林,2020-01-29,84.9,73
"		156",堡林,2020-01-30,73.1,45
"		156",堡林,2020-01-31,68.5,41
"		156",堡林,2020-02-01,74.3,51
"		156",堡林,2020-02-02,66.1,38
"		156",堡林,2020-02-03,65.8,39
"		156",堡林,2020-02-04,49.4,18
"		156",堡林,2020-02-05,44.5,19
"		156",堡林,2020-02-06,32.6,10
"		156",堡林,2020-02-07,43.1,17
"		156",堡林,2020-02-08,52.4,30
"		156",堡林,2020-02-09,53,33
"		156",堡林,2020-02-10,56.8,23
"		156",堡林,2020-02-11,53.9,29
"		156",堡林,2020-02-12,96.5,62
"		156",堡林,2020-02-13,91.5,69
"		156",堡林,2020-02-14,60.6,12
"		156",堡林,2020-02-15,74.9,28
"		156",堡林,2020-02-16,88.8,62
"		156",堡林,2020-02-17,85.5,61
"		156",堡林,2020-02-18,60.4,35
"		156",堡林,2020-02-19,66.9,40
"		156",堡林,2020-02-20,62.6,16
"		156",堡林,2020-02-21,69.8,33
"		156",堡林,2020-02-22,62.4,32
"		156",堡林,2020-02-23,52.5,30
"		156",堡林,2020-02-24,65.8,31
"		156",堡林,2020-02-25,97,83
"		156",堡林,2020-02-26,83.4,57
"		156",堡林,2020-02-27,67.9,32
"		156",堡林,2020-02-28,80.6,60
"		156",堡林,2020-02-29,74.9,49
"		156",堡林,2020-03-01,82.5,62
"		156",堡林,2020-03-02,52.4,25
"		156",堡林,2020-03-03,65.3,43
"		156",堡林,2020-03-04,57.6,34
"		156",堡林,2020-03-05,46.8,24
"		156",堡林,2020-03-06,43.1,1
"		156",堡林,2020-03-07,87.4,49
"		156",堡林,2020-03-08,73,40
"		156",堡林,2020-03-09,84.3,55
"		156",堡林,2020-03-10,86.3,59
"		156",堡林,2020-03-11,43.6,22
"		156",堡林,2020-03-12,46.9,12
"		156",堡林,2020-03-13,45,6
"		156",堡林,2020-03-14,43.3,18
"		156",堡林,2020-03-15,50.5,20
"		156",堡林,2020-03-16,43.6,11
"		156",堡林,2020-03-17,63.4,27
"		156",堡林,2020-03-18,53.3,7
"		156",堡林,2020-03-19,54.3,22
"		156",堡林,2020-03-20,32.6,17
"		156",堡林,2020-03-21,57.5,34
"		156",堡林,2020-03-22,48.4,16
"		156",堡林,2020-03-23,46,14
"		156",堡林,2020-03-24,55.9,16
"		156",堡林,2020-03-25,46.9,23
"		156",堡林,2020-03-26,94.5,39
"		156",堡林,2020-03-27,84.4,60
"		156",堡林,2020-03-28,42.8,25
"		156",堡林,2020-03-29,52.8,31
"		156",堡林,2020-03-30,56.5,33
"		156",堡林,2020-03-31,53.9,25
"		156",堡林,2020-04-01,50.1,25
"		156",堡林,2020-04-02,42.5,18
"		156",堡林,2020-04-03,35.9,19
"		156",堡林,2020-04-04,45.6,18
"		156",堡林,2020-04-05,37.1,11
"		156",堡林,2020-04-06,41,9
"		156",堡林,2020-04-07,50.5,18
"		156",堡林,2020-04-08,32.8,6
"		156",堡林,2020-04-09,39.1,20
"		156",堡林,2020-04-10,48.6,34
"		156",堡林,2020-04-11,79.9,53
"		156",堡林,2020-04-12,77.9,40
"		156",堡林,2020-04-13,56.9,27
"		156",堡林,2020-04-14,41.9,5
"		156",堡林,2020-04-15,39.5,12
"		156",堡林,2020-04-16,49.4,21
"		156",堡林,2020-04-17,85.6,59
"		156",堡林,2020-04-18,73.8,50
"		156",堡林,2020-04-19,89.6,65
"		156",堡林,2020-04-20,78.5,54
"		156",堡林,2020-04-21,47.3,16
"		156",堡林,2020-04-22,39.6,25
"		156",堡林,2020-04-23,46.9,19
"		156",堡林,2020-04-24,40.9,12
"		156",堡林,2020-04-25,56,26
"		156",堡林,2020-04-26,44.3,9
"		156",堡林,2020-04-27,39.1,16
"		156",堡林,2020-04-28,53.6,18
"		156",堡林,2020-04-29,41.6,16
"		156",堡林,2020-04-30,60,36
"		156",堡林,2020-05-01,77.6,56
"		156",堡林,2020-05-02,76.6,54
"		156",堡林,2020-05-03,91,68
"		156",堡林,2020-05-04,78.1,54
"		156",堡林,2020-05-05,78.4,60
"		156",堡林,2020-05-06,62.8,20
"		156",堡林,2020-05-07,45.3,12
"		156",堡林,2020-05-08,59.5,33
"		156",堡林,2020-05-09,96.1,91
"		156",堡林,2020-05-10,93,74
"		156",堡林,2020-05-11,66.5,19
"		156",堡林,2020-05-12,64.4,39
"		156",堡林,2020-05-13,50.4,23
"		156",堡林,2020-05-14,43,17
"		156",堡林,2020-05-15,94,63
"		156",堡林,2020-05-16,89.5,74
"		156",堡林,2020-05-17,79.5,54
"		156",堡林,2020-05-18,84.8,66
"		156",堡林,2020-05-19,89.1,71
"		156",堡林,2020-05-20,70.1,45
"		156",堡林,2020-05-21,71.1,42
"		156",堡林,2020-05-22,61,37
"		156",堡林,2020-05-23,67.1,51
"		156",堡林,2020-05-24,92.5,70
"		156",堡林,2020-05-25,81.6,54
"		156",堡林,2020-05-26,76.5,36
"		156",堡林,2020-05-27,62.6,27
"		156",堡林,2020-05-28,74.4,41
"		156",堡林,2020-05-29,65.1,30
"		156",堡林,2020-05-30,52.9,33
"		156",堡林,2020-05-31,79.4,49
"		156",堡林,2020-06-01,64.4,25
"		156",堡林,2020-06-02,61.3,21
"		156",堡林,2020-06-03,83.4,60
