시도,시군구,법정동,년도,월,전체호수,전력사용량
강원도,강릉시,청량동,2019,7,7 ,1633 
강원도,강릉시,청량동,2019,8,8 ,2512 
강원도,강릉시,청량동,2019,9,8 ,2225 
강원도,강릉시,청량동,2019,10,8 ,2129 
강원도,강릉시,청량동,2019,11,9 ,2732 
강원도,강릉시,청량동,2019,12,9 ,3581 
강원도,강릉시,초당동,2019,1,88 ,54343 
강원도,강릉시,초당동,2019,2,88 ,47690 
강원도,강릉시,초당동,2019,3,88 ,37541 
강원도,강릉시,초당동,2019,4,88 ,36773 
강원도,강릉시,초당동,2019,5,88 ,33237 
강원도,강릉시,초당동,2019,6,88 ,31818 
강원도,강릉시,초당동,2019,7,87 ,36159 
강원도,강릉시,초당동,2019,8,89 ,52180 
강원도,강릉시,초당동,2019,9,89 ,37854 
강원도,강릉시,초당동,2019,10,89 ,36942 
강원도,강릉시,초당동,2019,11,89 ,39097 
강원도,강릉시,초당동,2019,12,89 ,46999 
강원도,강릉시,포남동,2019,1,204 ,107019 
강원도,강릉시,포남동,2019,2,205 ,105996 
강원도,강릉시,포남동,2019,3,206 ,84068 
강원도,강릉시,포남동,2019,4,208 ,84995 
강원도,강릉시,포남동,2019,5,213 ,72755 
강원도,강릉시,포남동,2019,6,225 ,72632 
강원도,강릉시,포남동,2019,7,225 ,73450 
강원도,강릉시,포남동,2019,8,228 ,123996 
강원도,강릉시,포남동,2019,9,229 ,107030 
강원도,강릉시,포남동,2019,10,230 ,85734 
강원도,강릉시,포남동,2019,11,230 ,89678 
강원도,강릉시,포남동,2019,12,231 ,112406 
강원도,강릉시,학동,2019,1,0 ,0 
강원도,강릉시,학동,2019,2,0 ,0 
